obs,cpd,Y_sum,bkg_type,c_base,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas,mean_c_phys_meas,median_c_phys_meas
o1,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.688132924,-0.680908205,0.096237573,0.132453198,10,0.205053448,0.208493152
o1,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.519266385,-0.522878745,0.057341627,0.096329599,10,0.302505736,0.3
o1,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.644237278,-0.638764005,0.088215844,0.144494398,11,0.226862504,0.229739671
o1,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.481403501,-0.462672746,0.091922379,0.177607697,9,0.330062738,0.344609506
o1,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.399946875,-0.409981208,0.1399375,0.096329599,12,0.398155872,0.389061979
o1,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.321188648,-0.324198948,0.112174433,0.156535598,8,0.47732189,0.474024787
o1,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.641172245,-0.626722805,0.075047153,0.132453198,10,0.228469249,0.236198532
o1,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.493979866,-0.504816946,0.067449829,0.096329599,10,0.320641797,0.312739728
o1,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.614681606,-0.626722805,0.082257055,0.084288399,10,0.242838977,0.236198532
o1,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.487959266,-0.486755146,0.058289026,0.072247199,10,0.32511779,0.326020459
o2,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.685724685,-0.692949404,0.094888933,0.144494398,10,0.206193664,0.202791896
o2,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.413303827,-0.402466747,0.045214665,0.072247199,10,0.386096774,0.395852373
o2,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.620702205,-0.620702205,0.048911585,0.072247199,10,0.239495741,0.239495741
o2,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.434977987,-0.438590346,0.117301312,0.108370798,10,0.367300918,0.364258465
o2,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.411185328,-0.385898809,0.180256399,0.180617997,10,0.387984764,0.411245531
o2,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.283258869,-0.330219548,0.135215758,0.216741597,10,0.520884137,0.467498748
o2,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.743522444,-0.783258403,0.077007215,0.108370798,10,0.180500145,0.164718203
o2,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.474713946,-0.420528547,0.096329599,0.180617997,10,0.335186141,0.379726978
o2,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.682112325,-0.674887605,0.13917877,0.252865196,10,0.207915887,0.211403608
o2,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.503612826,-0.492775746,0.132781188,0.180617997,10,0.31360803,0.321532039
o3,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.580168733,-0.578396073,0.06463675,0.081285204,7,0.262924628,0.264
o3,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.458967762,-0.462672747,0.098975515,0.111381099,13,0.34756196,0.344609506
o3,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.615822992,-0.596619806,0.084826356,0.143448582,10,0.2422016,0.253151319
o3,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.436154158,-0.432569747,0.086381416,0.168576797,10,0.366307526,0.369343324
o3,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.745893624,-0.494269607,0.636490902,0.288988797,10,0.179517328,0.320427951
o3,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.345877142,-0.354301948,0.067410552,0.108330459,10,0.450944255,0.442280765
o3,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.695357645,-0.668867005,0.158534843,0.276947597,10,0.201670491,0.214354692
o3,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.541019082,-0.534992141,0.123836121,0.216741596,10,0.287727199,0.291747981
o3,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.637538363,-0.644784605,0.121558378,0.132453199,10,0.230388946,0.226576777
o3,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.450631546,-0.426549146,0.109773954,0.180617997,10,0.354297798,0.374499165
o4,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.692949404,-0.674887605,0.137554569,0.288988796,10,0.202791896,0.211403608
o4,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.485551026,-0.492775746,0.074324544,0.108370798,10,0.326925634,0.321532039
o4,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.624314565,-0.638764005,0.111924879,0.108370798,10,0.237511933,0.229739671
o4,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.481938666,-0.474713946,0.104696138,0.072247199,10,0.329656265,0.335186141
o4,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.400348249,-0.367837009,0.114486421,0.180617997,10,0.397788067,0.428709385
o4,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.348281348,-0.348281348,0.093658555,0.072247199,10,0.448454775,0.448454775
o4,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.649601085,-0.638764005,0.070314834,0.108370798,10,0.224077843,0.229739671
o4,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.453039786,-0.474713946,0.123032546,0.216741597,10,0.352338591,0.335186141
o4,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.656825805,-0.656825805,0.126575865,0.216741597,10,0.220381023,0.220381023
o4,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.503612826,-0.528899345,0.088156057,0.180617997,10,0.31360803,0.295869811
o5,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.644123765,-0.638272164,0.080895401,0.101947245,11,0.226921808,0.23
o5,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.481609582,-0.462180905,0.049756694,0.072550667,9,0.329906155,0.345
o5,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.645827752,-0.638272164,0.046510148,0.071739053,10,0.226033208,0.23
o5,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.456721915,-0.462180905,0.035132035,0.036056577,10,0.349363947,0.345
o5,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.302977357,-0.289882635,0.069644867,0.105443101,9,0.497763037,0.513
o5,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.275570502,-0.282329497,0.055568865,0.084125786,11,0.530187517,0.522
o5,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.577511501,-0.572713391,0.054172019,0.072275623,10,0.264538264,0.267477102
o5,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.435181623,-0.433013507,0.062479974,0.035052507,10,0.367128734,0.368966123
o5,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.525571737,-0.505845406,0.044816024,0.047268082,10,0.298145503,0.312
o5,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.421874569,-0.414652104,0.061656611,0.084549602,10,0.378551901,0.384899987
o6,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.762186303,-0.759176003,0.084542133,0.114391398,12,0.172907446,0.174110113
o6,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.653826793,-0.661352543,0.099801448,0.144494398,8,0.221908126,0.218095878
o6,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.721045537,-0.692949404,0.101893072,0.156535598,12,0.190087896,0.202791896
o6,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.575558995,-0.583084744,0.0633697,0.090308999,8,0.265730256,0.261165169
o6,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.635323662,-0.578558006,0.38991395,0.276947596,7,0.231566823,0.263901582
o6,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.432106624,-0.390425547,0.127868942,0.177607697,13,0.369737395,0.406981298
o6,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.624715939,-0.590599206,0.109620419,0.138473798,12,0.237292527,0.25668518
o6,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.453641846,-0.450631546,0.043534272,0.048164799,8,0.351850485,0.354297798
o6,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.697464854,-0.680908205,0.096423625,0.138473798,8,0.20069435,0.208493152
o6,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.493779179,-0.498796346,0.077944348,0.084288399,12,0.32079,0.317105412
o7,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.667361855,-0.680908205,0.056455307,0.066226599,8,0.215098878,0.208493152
o7,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.531909645,-0.534919945,0.072452156,0.084288399,12,0.293826089,0.291796484
o7,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.678901338,-0.711011204,0.065400455,0.099339899,9,0.209458825,0.194530989
o7,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.5360146,-0.510837545,0.045837147,0.072247199,11,0.291061927,0.308434148
o7,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.447199463,-0.458146008,0.060315365,0.096329599,11,0.357108788,0.348220225
o7,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.324867904,-0.330219548,0.040882982,0.057195699,9,0.473295196,0.467498748
o7,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.635167955,-0.638272164,0.073745586,0.095771553,11,0.231649861,0.23
o7,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.492231064,-0.474955193,0.056690898,0.072731114,9,0.321935549,0.335
o7,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.618870222,-0.638272164,0.067088034,0.082146007,9,0.240508139,0.23
o7,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.473760302,-0.474955193,0.058485398,0.046141242,11,0.335922967,0.335
o8,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.673683485,-0.662846405,0.104426511,0.204700397,10,0.211990557,0.217346973
o8,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.472305706,-0.468693346,0.086978628,0.132453198,10,0.337049971,0.339865166
o8,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.683644841,-0.686928805,0.095284002,0.069236899,11,0.207183497,0.205622765
o8,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.445279902,-0.438590346,0.088915743,0.132453198,9,0.358690685,0.364258465
o8,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.598626672,-0.596619806,0.081073438,0.138473798,12,0.25198421,0.253151319
o8,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.443105796,-0.420528547,0.117616523,0.108370798,8,0.360490815,0.379726978
o8,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.614681606,-0.626722805,0.062069353,0.090308999,8,0.242838977,0.236198532
