obs,col_direction,cpd,Y_test,bkg_type,c_base,Y_fg,Y_ambient,Y_sum,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas
o1,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,4.805676992,5.805676992,0.05167356,-1.128690867,-1.142237217,0.053633085,0.072247199,8
o1,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,15.27635002,16.27635002,0.049151069,-1.109787237,-1.133869636,0.090108089,0.060205999,8
o1,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.929200899,-0.929200899,0.045054044,0.048164799,8
o1,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.589025715,-0.611602965,0.086456797,0.168576798,8
o1,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,55.68973951,65.68973951,0.045669233,-1.195881887,-1.201902487,0.080646508,0.102350199,8
o1,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,160.3789957,170.3789957,0.046954145,-1.197378019,-1.201893469,0.066089626,0.078267799,8
o1,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.788738483,-0.775192133,0.083903553,0.102350199,8
o1,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,13.0101287,23.0101287,0.347672979,-0.467859961,-0.446787861,0.037941382,0.042144199,8
o1,1,2,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,442.710599,542.710599,0.05527808,-1.16713805,-1.14907625,0.068115312,0.108370798,8
o1,1,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,98.01097021,198.0109702,0.404018019,-0.371022015,-0.381558065,0.033713824,0.042144199,8
o1,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,5.793984958,6.793984958,0.044156707,-1.147292629,-1.174385329,0.097558138,0.126432598,8
o1,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,21.42400515,22.42400515,0.035676053,-1.221850701,-1.212819801,0.091646561,0.090308999,8
o1,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.942747249,-0.941242099,0.055902263,0.084288399,8
o1,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.593541165,-0.575479365,0.096758686,0.150514998,8
o1,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,79.9726664,89.9726664,0.03334346,-1.346041288,-1.344536138,0.043385335,0.060205999,8
o1,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,224.7576022,234.7576022,0.034077704,-1.32755073,-1.31099408,0.06369572,0.096329599,8
o1,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,14.0101386,24.0101386,0.124947217,-0.867149813,-0.837046813,0.06532123,0.096329599,8
o1,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.508572633,-0.495026283,0.053633085,0.072247199,8
o1,1,4,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,587.068975,687.068975,0.043663738,-1.251508285,-1.269570085,0.088718163,0.168576798,8
o1,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,108.0110692,208.0110692,0.144223094,-0.786779792,-0.792800392,0.062402167,0.096329599,8
o1,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,112.0111088,212.0111088,0.377338718,-0.42778408,-0.42326863,0.039643327,0.036123599,8
o1,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,1,1.0100099,2.0100099,0.034825699,-1.381337508,-1.397894157,0.061713771,0.102350199,8
o1,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,1,2.0100198,3.0100198,0.033222373,-1.334074955,-1.322033755,0.059339681,0.084288399,8
o1,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,10,14.0101386,24.0101386,0.029154351,-1.485626678,-1.475090628,0.048779069,0.084288399,8
o1,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,10,15.0101485,25.0101485,0.039983769,-1.348446321,-1.374033871,0.075729069,0.120411998,8
o1,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,100,101.0109999,201.0109999,0.034823965,-1.367812785,-1.373833385,0.056110293,0.054185399,8
o1,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,100,104.0110296,204.0110296,0.049016958,-1.282560948,-1.309653648,0.078499019,0.120411998,8
o1,3,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.557417566,-0.587520565,0.07338502,0.096329599,8
o1,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.761645783,-0.769171533,0.06748522,0.084288399,8
o1,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.531149883,-0.561252882,0.096114337,0.174597397,8
o1,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,96.01095041,196.0109504,0.153052674,-0.77000458,-0.760973681,0.071018293,0.078267799,8
o1,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,109.0110791,209.0110791,0.38275483,-0.43514112,-0.43514112,0.06532123,0.084288399,8
o2,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,4.805676992,5.805676992,0.05167356,-1.119659967,-1.130196017,0.124710944,0.090308999,8
o2,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,15.27635002,16.27635002,0.049151069,-1.005931888,-1.001416438,0.172396235,0.288988796,8
o2,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.911139099,-0.911139099,0.06436292,0.114391398,8
o2,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.498716717,-0.503232166,0.069302309,0.096329599,8
o2,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,55.68973951,65.68973951,0.045669233,-1.155242838,-1.147717088,0.110159822,0.174597397,8
o2,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,160.3789957,170.3789957,0.046954145,-1.228986168,-1.256078868,0.098193013,0.174597397,8
o2,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.739068534,-0.757130334,0.088718163,0.132453198,8
o2,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,13.0101287,23.0101287,0.347672979,-0.377550962,-0.356478862,0.104329495,0.138473798,8
o2,1,2,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,442.710599,542.710599,0.05527808,-1.1355299,-1.14305565,0.058082855,0.084288399,8
o2,1,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,98.01097021,198.0109702,0.404018019,-0.339413866,-0.339413866,0.039150436,0.036123599,8
o2,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,5.793984958,6.793984958,0.044156707,-1.210508928,-1.210508928,0.089415827,0.126432598,8
o2,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,21.42400515,22.42400515,0.035676053,-1.163149852,-1.152613802,0.080115033,0.120411998,8
o2,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.86146915,-0.8449125,0.070193217,0.102350199,8
o2,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.521293966,-0.527314566,0.094154835,0.150514998,8
