observer, image, show_ref_left, Y_bg, Y_fg_ref, Y_fg
o1, valley,1,10,800,37.975
o1, valley,0,1,800,13.31
o1, valley,1,1,200,5.13158
o1, mushroom,1,1,200,12.1
o1, spider,1,1,200,2.89664
o1, coral,1,0.1,200,0.92296
o1, coral,1,0.1,800,1.97845
o1, mushroom,0,1,200,5.13158
o1, mushroom,1,0.1,800,7.51315
o1, valley,0,0.1,800,4.66507
o1, valley,1,0.1,800,4.24098
o1, valley,0,1,800,23.5795
o1, valley,0,10,200,55.5992
o1, coral,1,1,200,4.24098
o1, mushroom,1,10,800,89.543
o1, coral,0,10,800,89.543
o1, valley,0,0.1,200,4.24098
o1, spider,0,10,800,67.275
o1, coral,1,10,200,28.5312
o1, valley,0,10,800,81.4027
o1, mushroom,0,0.1,200,4.24098
o1, spider,1,1,800,23.5795
o1, spider,1,10,200,14.641
o1, spider,1,10,200,23.5795
o1, valley,1,0.1,800,2.63331
o1, valley,0,1,200,17.7156
o1, spider,1,10,800,28.5312
o1, coral,1,1,800,25.9374
o1, valley,0,0.1,200,5.64474
o1, coral,1,10,800,45.9497
o1, spider,0,0.1,200,23.5795
o1, coral,1,10,800,55.5992
o1, valley,1,1,800,23.5795
o1, mushroom,0,0.1,800,21.4359
o1, mushroom,1,1,200,3.18631
o1, mushroom,1,0.1,800,6.83013
o1, coral,0,0.1,800,19.4872
o1, valley,0,1,200,13.31
o1, mushroom,1,10,800,61.1591
o1, coral,0,1,800,28.5312
o1, valley,1,0.1,200,2.63331
o1, mushroom,1,1,800,21.4359
o1, coral,1,0.1,800,25.9374
o1, coral,0,0.1,200,6.20921
o1, valley,0,0.1,800,17.7156
o1, valley,1,0.1,200,2.17629
o1, coral,0,1,800,25.9374
o1, mushroom,0,1,800,41.7725
o1, coral,1,1,200,3.85543
o1, mushroom,1,0.1,200,2.39392
o1, spider,0,0.1,800,23.5795
o1, valley,1,1,800,23.5795
o1, spider,0,1,200,6.83013
o1, mushroom,0,10,200,74.0025
o1, mushroom,0,0.1,200,4.24098
o1, coral,1,10,200,45.9497
o1, mushroom,1,0.1,200,2.89664
o1, coral,0,1,200,28.5312
o1, coral,0,1,200,19.4872
o1, valley,1,10,200,16.1051
o1, mushroom,0,10,800,98.4973
o1, mushroom,0,0.1,800,23.5795
o1, spider,0,0.1,200,4.24098
o1, spider,0,1,800,28.5312
o1, spider,0,10,200,50.5447
o1, coral,1,1,800,14.641
o1, spider,0,1,200,37.975
o1, spider,0,10,800,174.494
o1, mushroom,1,1,800,10
o1, spider,1,0.1,800,3.50494
o1, valley,1,1,200,3.50494
o1, spider,0,10,200,67.275
o1, coral,0,10,200,67.275
o1, spider,0,0.1,800,14.641
o1, spider,1,0.1,800,4.24098
o1, valley,1,10,200,16.1051
o1, mushroom,0,10,800,374.043
o1, spider,1,1,800,5.64474
o1, mushroom,0,1,800,50.5447
o1, spider,1,0.1,200,2.89664
o1, spider,1,1,200,6.83013
o1, spider,1,0.1,200,2.17629
o1, coral,0,0.1,200,8.26446
o1, coral,0,10,800,98.4973
o1, spider,0,1,800,28.5312
o1, coral,0,0.1,800,19.4872
o1, valley,1,10,800,67.275
o1, mushroom,1,10,200,28.5312
o1, coral,1,0.1,200,4.24098
o1, valley,0,10,200,31.3843
o1, mushroom,0,10,200,45.9497
o1, coral,0,10,200,31.3843
o1, spider,1,10,800,28.5312
o1, valley,0,10,800,41.7725
o1, mushroom,0,1,200,4.24098
o1, mushroom,1,10,200,25.9374
o2, spider,1,1,800,7.40926
o2, mushroom,0,1,200,4.64125
o2, coral,1,1,200,1.72991
o2, spider,1,0.1,200,0.528008
o2, mushroom,1,10,200,16.2203
o2, valley,1,1,800,4.35052
o2, spider,0,1,200,8.85507
o2, valley,0,10,200,42.2412
